1be, was/were, been, ser/estar
2beat, beat, beaten, golpear/latir
2become, became, become, convertirse
1begin, began, begun, empezar
2bite, bit, bitten, morder/picar
2blow, blew, blown, soplar
1break, broke, broken, romper
1bring, brought, brought, traer
3broadcast, broadcast, broadcast, transmitir
2build, built, built, construir
2burn, burnt, burnt, quemar/arder
1buy, bought, bought, comprar
1can, could, been able, poder
2catch, caught, caught, atrapar/alcanzar
1choose, chose, chosen, elegir
1come, came, come, venir
1cost, cost, cost, costar
2cut, cut, cut, cortar
2deal, dealt, dealt, comerciar/tratar
1do, did, done, hacer
2draw, drew, drawn, dibujar
2dream, dreamt, dreamt, sonyar
1drink, drank, drunk, beber
1drive, drove, driven, conducir
1eat, ate, eaten, comer
2fall, fell, fallen, caer
3feed, fed, fed, alimentar
1feel, felt, felt, sentir
2fight, fought, fought, luchar
2find, found, found, encontrar
1fly, flew, flown, volar
3forecast, forecast, forecast, pronosticar
1forget, forgot, forgotten, olvidar
1get, got, got/gotten, obtener/conseguir
1give, gave, given, dar
1go, went, gone, ir
2grow, grew, grown, crecer
1have, had, had, tener/haber
1hear, heard, heard, oir
2hide, hid, hidden, esconder
2hit, hit, hit, golpear
2hold, held, held, agarrar/sostener
1hurt, hurt, hurt, danyar/herir/doler
1keep, kept, kept, guardar
1know, knew, known, conocer/saber
2lead, led, led, guiar/dirigir
1learn, learnt, learnt, aprender
1leave, left, left, dejar/abandonar
3lend, lent, lent, prestar
2let, let, let, dejar/permitir
2lie, lay, lain, mentir
3light, lit, lit, iluminar
1lose, lost, lost, perder
1make, made, made, hacer
1mean, meant, meant, querer decir
1meet, met, met, conocer/quedar
1pay, paid, paid, pagar
2prove, proved, proven, probar/demostrar
1put, put, put, poner
1read, read, read, leer
1ride, rode, riden, montar
2ring, rang, rung, sonar/timbrar
2rise, rose, risen, elevar
1run, ran, run, correr
1say, said, said, decir
1see, saw, seen, ver
1sell, sold, sold, vender
2send, sent, sent, enviar
2set, set, set, definir
2shake, shook, shaken, agitar
1shine, shone, shone, brillar
1show, showed, shown, mostrar/ensenyar
2shoot, shot, shot, disparar
1shut, shut, shut, cerrar
1sing, sang, sung, cantar
3sink, sank, sunk, hundir
1sit, sat, sat, sentar
1sleep, slept, slept, dormir
3slide, slid, slid, deslizar/pasar
2smell, smelt, smelt, oler
1speak, spoke, spoken, hablar
2speed, sped, sped, ir rapido
1spell, spelt, spelt, deletrear
2spend, spent, spent, pasar tiempo/gastar dinero
1stand, stood, stood, estar de pie
2steal, stole, stolen, robar
3stick, stuck, stuck, pegar cosas
3stink, stank, stunk, apestar
3sweep, swept, swept, barrer
1swim, swam, swum, nadar
1take, took, taken, coger
1teach, taught, taught, ensenyar
1tell, told, told, contar
1think, thought, thought, pensar
1throw, threw, thrown, lanzar
1understand, understood, understood, entender
1wake, woke, woken, despertar
1wear, wore, worn, llevar puesto
1win, won, won, ganar
1write, wrote, written, escribir
